arquivo,fileId,link,status
a01-marlonwlourenco,18q7GUK_hby360VppLIiE-y3jgEvGeS4z,https://drive.google.com/file/d/18q7GUK_hby360VppLIiE-y3jgEvGeS4z/view?usp=sharing,ok
a02-tiagocadore,1Vr6kOgeFcp-Jzh0lZP7Ee3HYoCzPlI8y,https://drive.google.com/file/d/1Vr6kOgeFcp-Jzh0lZP7Ee3HYoCzPlI8y/view?usp=sharing,ok
a03-julia_cavalheiro,12Mny6fJd8D7Jv9vELD63zkX-LcK-lgmG,https://drive.google.com/file/d/12Mny6fJd8D7Jv9vELD63zkX-LcK-lgmG/view?usp=sharing,ok
a04-jakelinecorretora,1pvUxxwYTPy9hFyNRZEa4MiDQ2-fDZP_p,https://drive.google.com/file/d/1pvUxxwYTPy9hFyNRZEa4MiDQ2-fDZP_p/view?usp=sharing,ok
a05-monicapoplawskioficial,1Hkiz9c3I9iu6UhK3UcIMrCzp08pb7_7l,https://drive.google.com/file/d/1Hkiz9c3I9iu6UhK3UcIMrCzp08pb7_7l/view?usp=sharing,ok
a06-monicapoplawskioficial,1pJ_Gmcc1i5LPZL8xJfjYEFD6Yg7sd0nQ,https://drive.google.com/file/d/1pJ_Gmcc1i5LPZL8xJfjYEFD6Yg7sd0nQ/view?usp=sharing,ok
a07-eu_mariannaribeiro,1y16hDDbK05V7rGPAlUnYrmf7oNjL9_vY,https://drive.google.com/file/d/1y16hDDbK05V7rGPAlUnYrmf7oNjL9_vY/view?usp=sharing,ok
a08-feltnegociosimobiliarios,1yZqc92Uq2ykU25IEkrS5KvgRo6UeKC8z,https://drive.google.com/file/d/1yZqc92Uq2ykU25IEkrS5KvgRo6UeKC8z/view?usp=sharing,ok
a09-monicapoplawskioficial,1xjkSETNf3MHgn0_AoG1bzrIdelQEN4Zz,https://drive.google.com/file/d/1xjkSETNf3MHgn0_AoG1bzrIdelQEN4Zz/view?usp=sharing,ok
a10-anaisabeltavares_c21,1543pIq2fzqbDBWFkqNBsNzuW9rdSNCzm,https://drive.google.com/file/d/1543pIq2fzqbDBWFkqNBsNzuW9rdSNCzm/view?usp=sharing,ok
a11-isaiasreis-se-eu-soubesse,1BPU_6QqZ9HxuLdZNfMSSk40Ugb8E1qQt,https://drive.google.com/file/d/1BPU_6QqZ9HxuLdZNfMSSk40Ugb8E1qQt/view?usp=sharing,ok
a12-corretordeimoveis,1SfTbp_LTZ_RPgDpJBEKdwAW2InUDVYmV,https://drive.google.com/file/d/1SfTbp_LTZ_RPgDpJBEKdwAW2InUDVYmV/view?usp=sharing,ok
a13-brenonogueira68,1pXkzhK0imUOu0EfoiXdhwGG_pIQx6K-s,https://drive.google.com/file/d/1pXkzhK0imUOu0EfoiXdhwGG_pIQx6K-s/view?usp=sharing,ok
a14-antoniogalvaoadv,1iEEiKVN8oP_IAE443z1vwQC4BT9AG8Yz,https://drive.google.com/file/d/1iEEiKVN8oP_IAE443z1vwQC4BT9AG8Yz/view?usp=sharing,ok
a15-monicapanizz,1xyRa58dEoyNCWPNI98I44gp_Iz438xqE,https://drive.google.com/file/d/1xyRa58dEoyNCWPNI98I44gp_Iz438xqE/view?usp=sharing,ok
a16-rafaelwainer-banco-nao-quer,1Nb3qjY5LBtGpy63AEwYCobwWdpc4rm83,https://drive.google.com/file/d/1Nb3qjY5LBtGpy63AEwYCobwWdpc4rm83/view?usp=sharing,ok
a17-eufercabral,1n-D_-NrSQpwyRMfWXhKJx5XpmhDVhLd6,https://drive.google.com/file/d/1n-D_-NrSQpwyRMfWXhKJx5XpmhDVhLd6/view?usp=sharing,ok
a18-monicapoplawskioficial,19WySeogieiLbIYUw7pMnT5asIMIxERuZ,https://drive.google.com/file/d/19WySeogieiLbIYUw7pMnT5asIMIxERuZ/view?usp=sharing,ok
a19-the.yueyue,1nABI4I_GP8ZfT0cRzBDQ0iSAQL5vCnSI,https://drive.google.com/file/d/1nABI4I_GP8ZfT0cRzBDQ0iSAQL5vCnSI/view?usp=sharing,ok
a20-caryscachero,1Gkrrt8uwXMbrWbhpH7WnjLhInqc3tgOW,https://drive.google.com/file/d/1Gkrrt8uwXMbrWbhpH7WnjLhInqc3tgOW/view?usp=sharing,ok
a21-rafaelbrottoo,1IS6E__1dEvgnVYIWFhxSQoXVWjyVgKbJ,https://drive.google.com/file/d/1IS6E__1dEvgnVYIWFhxSQoXVWjyVgKbJ/view?usp=sharing,ok
a22-rod__team,1hOyK51GHxWyjIUVyEwTq5LQkwzDfnzCi,https://drive.google.com/file/d/1hOyK51GHxWyjIUVyEwTq5LQkwzDfnzCi/view?usp=sharing,ok
a23-user4714347291657,1Eainrvbt0tq3HKzGHRXWH-BSdnNYdCoQ,https://drive.google.com/file/d/1Eainrvbt0tq3HKzGHRXWH-BSdnNYdCoQ/view?usp=sharing,ok
a24-advogadaexpert,1A33S2TGxaMSwsCcaLsmkLCgU-yGB_hGl,https://drive.google.com/file/d/1A33S2TGxaMSwsCcaLsmkLCgU-yGB_hGl/view?usp=sharing,ok
a25-diegovieiracorretor,1I8vkh0tTvUMKJWTzPv2KmX02rIbUwU-Q,https://drive.google.com/file/d/1I8vkh0tTvUMKJWTzPv2KmX02rIbUwU-Q/view?usp=sharing,ok
a26-diegojpsreal,11UPYGSsEKoWZ4nzPXgpXE0gW1aiOXFVQ,https://drive.google.com/file/d/11UPYGSsEKoWZ4nzPXgpXE0gW1aiOXFVQ/view?usp=sharing,ok
a27-eu-luisrezendecorretor,1BM7bNYFD2KyANGAXsBm8jQInoW2pHG15,https://drive.google.com/file/d/1BM7bNYFD2KyANGAXsBm8jQInoW2pHG15/view?usp=sharing,ok
a28-alextucker-pov-mcm,1Om8c1EIZe3t2y307uwJ-l7LR5wzDf-Cl,https://drive.google.com/file/d/1Om8c1EIZe3t2y307uwJ-l7LR5wzDf-Cl/view?usp=sharing,ok
a29-kyle-toomey,1ZVOF90pN_JNQeFKZWPRMPYDB2MxNeQpB,https://drive.google.com/file/d/1ZVOF90pN_JNQeFKZWPRMPYDB2MxNeQpB/view?usp=sharing,ok
a30-rafaelwainer,1WgORJ6wiB5dmb0Gk4HMMWJnQC8GaqYfs,https://drive.google.com/file/d/1WgORJ6wiB5dmb0Gk4HMMWJnQC8GaqYfs/view?usp=sharing,ok
a31-thalescastroimoveis,1m1WL4lkMkxaF7H1zzb_m4D2o1GxCMP-u,https://drive.google.com/file/d/1m1WL4lkMkxaF7H1zzb_m4D2o1GxCMP-u/view?usp=sharing,ok
a32-amandamorais-corretora,1_meGjb_BhIYMHD7h3DlM92abp_7z7GN6,https://drive.google.com/file/d/1_meGjb_BhIYMHD7h3DlM92abp_7z7GN6/view?usp=sharing,ok
a33-tiagoretamero,1CwVJQJrWAOe81toV1TLbY49td5Vxkawa,https://drive.google.com/file/d/1CwVJQJrWAOe81toV1TLbY49td5Vxkawa/view?usp=sharing,ok
a34-fabrisimoveis-aweronooou,1wk7RqcKfyoZvklIJh3EmeecaHHbXkQrk,https://drive.google.com/file/d/1wk7RqcKfyoZvklIJh3EmeecaHHbXkQrk/view?usp=sharing,ok
a35-casalcorretorvha,1EGS-n_zoYyNOysIcpxgVcE4iqqeOwuax,https://drive.google.com/file/d/1EGS-n_zoYyNOysIcpxgVcE4iqqeOwuax/view?usp=sharing,ok
a36-rotina-andreza-achei-minha-casa,1wbDKnG5Hk0QutvZ2ub-oD-Ha2Jb-SaFi,https://drive.google.com/file/d/1wbDKnG5Hk0QutvZ2ub-oD-Ha2Jb-SaFi/view?usp=sharing,ok
a37-unumarquitetura,1mCgd-0FTYyF21geWzNDIjfdkvEtE6sQa,https://drive.google.com/file/d/1mCgd-0FTYyF21geWzNDIjfdkvEtE6sQa/view?usp=sharing,ok
a38-lucassena-adv,1DH4t2Nnfouz4nBpUSvtx-wQ6TRp6FsDk,https://drive.google.com/file/d/1DH4t2Nnfouz4nBpUSvtx-wQ6TRp6FsDk/view?usp=sharing,ok
a39-hannaferreroficial,1hMMAw4a9FcX3x9gWZ9jXVmZa9EOVAjbA,https://drive.google.com/file/d/1hMMAw4a9FcX3x9gWZ9jXVmZa9EOVAjbA/view?usp=sharing,ok
a40-oapedanath,1wMnB58Sx0CV2Zxa-lkmz2erYBa9QhX7e,https://drive.google.com/file/d/1wMnB58Sx0CV2Zxa-lkmz2erYBa9QhX7e/view?usp=sharing,ok
a41-gemeos.investem,1V5lbGV07-4MhBUVP_jZhT8NE-sLCgwqR,https://drive.google.com/file/d/1V5lbGV07-4MhBUVP_jZhT8NE-sLCgwqR/view?usp=sharing,ok
a42-cesarconsorcioshow,1P2mFIfzlnD6bRBHJrVO5J_eq5-ffuKpR,https://drive.google.com/file/d/1P2mFIfzlnD6bRBHJrVO5J_eq5-ffuKpR/view?usp=sharing,ok
a45-marcus_cassini,1u43oRgNijRVlW_Kzf_qC0v5Zop5bG2yQ,https://drive.google.com/file/d/1u43oRgNijRVlW_Kzf_qC0v5Zop5bG2yQ/view?usp=sharing,ok
a46-sergioricardo-casa-26800,1pm03BS8tbWEbOXaP9uMxcyR6vBUSSVYs,https://drive.google.com/file/d/1pm03BS8tbWEbOXaP9uMxcyR6vBUSSVYs/view?usp=sharing,ok
a47-soteroinvestidor-quanto-custa-salvador,1AG-kQB4Km_iSrj12zTHjNuQmy8et106w,https://drive.google.com/file/d/1AG-kQB4Km_iSrj12zTHjNuQmy8et106w/view?usp=sharing,ok
a49-mynameisglenn_,1XuYnF4VOdfz6lr0UB01yg-3WSx6R27fA,https://drive.google.com/file/d/1XuYnF4VOdfz6lr0UB01yg-3WSx6R27fA/view?usp=sharing,ok
a50-fala.laly,13595CH7bwd53vxMjUWi0-jkh_Yvg-nGq,https://drive.google.com/file/d/13595CH7bwd53vxMjUWi0-jkh_Yvg-nGq/view?usp=sharing,ok
a51-ericzerlin-iphone-vs-ape,1sU9A1F4EERh4nJOe9K7wkaYUo3Aam5pl,https://drive.google.com/file/d/1sU9A1F4EERh4nJOe9K7wkaYUo3Aam5pl/view?usp=sharing,ok
a52-sibeleimoveis,1sREnRaQSoDRemNBL-9YfC9b8ydmdXhGd,https://drive.google.com/file/d/1sREnRaQSoDRemNBL-9YfC9b8ydmdXhGd/view?usp=sharing,ok
b01-feltnegociosimobiliarios,17DFAVf-KyC3QfHDuZy39KSxR02x5ThRu,https://drive.google.com/file/d/17DFAVf-KyC3QfHDuZy39KSxR02x5ThRu/view?usp=sharing,ok
b03-mrv,156sqviKHszylfnQFyHE1o3jJg9ayFdD4,https://drive.google.com/file/d/156sqviKHszylfnQFyHE1o3jJg9ayFdD4/view?usp=sharing,ok
b04-quintoandar,1dNHq5Ya-yF_R3ScgGd0RlWQdpu47LwPM,https://drive.google.com/file/d/1dNHq5Ya-yF_R3ScgGd0RlWQdpu47LwPM/view?usp=sharing,ok
b05-feltnegociosimobiliarios,1YKo-Aj9SCwJs8ntFe0igMmYgRoWQ7DAW,https://drive.google.com/file/d/1YKo-Aj9SCwJs8ntFe0igMmYgRoWQ7DAW/view?usp=sharing,ok
b06-jardimtaddei-fase1,1yW3WBrBSmlfRcbCCSsytYTAj8u0Dc23u,https://drive.google.com/file/d/1yW3WBrBSmlfRcbCCSsytYTAj8u0Dc23u/view?usp=sharing,ok
b07-quatro,13YzeZppJOhMv3WAsBLM9sNRCcn_Luegi,https://drive.google.com/file/d/13YzeZppJOhMv3WAsBLM9sNRCcn_Luegi/view?usp=sharing,ok
